date,google_trends,twitter,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend,date
2020-11-29,1,1,1,1.0112116420558275e-15,4.957397387944998e-13,1,2020-11-29
2020-11-30,1,1,1,1.978960484507579e-13,7.618997865354179e-11,1,2020-11-30
2020-12-01,1,1,1,7.880934409217258e-13,2.9474694690472546e-10,1,2020-12-01
2020-12-02,1,1,1,3.207279605887558e-14,1.3149846384138986e-11,1,2020-12-02
2020-12-03,1,1,1,3.9758210162236146e-15,1.8089985623817447e-12,1,2020-12-03
2020-12-04,1,1,1,3.441541766552969e-14,1.3975581459621456e-11,1,2020-12-04
2020-12-05,1,1,1,2.729596100634262e-14,1.1273231895619502e-11,1,2020-12-05
2020-12-06,1,1,1,4.1604408270057326e-15,1.880519253806591e-12,1,2020-12-06
2020-12-07,1,0,0,100.0,1.0,0,2020-12-07
2020-12-08,1,0,0,100.0,1.0,0,2020-12-08
2020-12-09,1,0,0,100.0,1.0,0,2020-12-09
2020-12-10,0,0,0,100.0,1.0,0,2020-12-10
2020-12-11,-1,-1,-1,1.4466650547292659e-11,5.265860799214528e-09,-1,2020-12-11
2020-12-12,-1,-1,-1,3.051509810157179e-11,1.107698061087056e-08,-1,2020-12-12
2020-12-13,-1,-1,-1,1.4002825019530349e-11,5.111031132128577e-09,-1,2020-12-13
2020-12-14,-1,-1,-1,4.349510707663481e-12,1.6049694511278245e-09,-1,2020-12-14
2020-12-15,-1,-1,-1,7.678273231984087e-13,2.8793524619940326e-10,-1,2020-12-15
2020-12-16,-1,-1,-1,6.303385927424398e-14,2.489837441332637e-11,-1,2020-12-16
2020-12-17,-1,-1,-1,2.9026995023256865e-14,1.193009495455857e-11,-1,2020-12-17
2020-12-18,-1,-1,-1,5.131856052937375e-14,2.0476105651220126e-11,-1,2020-12-18
2020-12-19,-1,-1,-1,2.4428799343568092e-14,1.0162380526924326e-11,-1,2020-12-19
2020-12-20,-1,-1,-1,2.0278268966118387e-15,9.591621220973997e-13,-1,2020-12-20
2020-12-21,-1,-1,-1,2.626558891455839e-15,1.221349884526965e-12,-1,2020-12-21
2020-12-22,-1,-1,-1,2.3574578187378602e-17,1.3720404505054346e-14,-1,2020-12-22
2020-12-23,-1,-1,-1,5.196731707396136e-19,3.5361434913023726e-16,-1,2020-12-23
2020-12-24,-1,-1,-1,9.33680461685957e-17,5.2192737808245e-14,-1,2020-12-24
2020-12-25,-1,-1,-1,2.7376138617359904e-14,1.127896911035228e-11,-1,2020-12-25
2020-12-26,-1,-1,-1,1.2673411094300906e-12,4.714508927079937e-10,-1,2020-12-26
2020-12-27,-1,-1,-1,1.9776665724664415e-12,7.317366318125834e-10,-1,2020-12-27
2020-12-28,-1,-1,-1,5.613489234633867e-13,2.110671952222334e-10,-1,2020-12-28
2020-12-29,-1,-1,-1,9.287976896183342e-14,3.631598966407687e-11,-1,2020-12-29
2020-12-30,-1,-1,-1,1.2890914361993712e-14,5.55598409001929e-12,-1,2020-12-30
2020-12-31,-1,-1,-1,1.0608340237230606e-15,5.187478376005766e-13,-1,2020-12-31
2021-01-01,0,-1,0,100.0,1.0,0,2021-01-01
2021-01-02,0,-1,0,100.0,1.0,0,2021-01-02
2021-01-03,-1,1,0,100.0,1.0,0,2021-01-03
2021-01-04,-1,1,0,100.0,1.0,0,2021-01-04
2021-01-05,-1,1,0,100.0,1.0,0,2021-01-05
2021-01-06,-1,1,0,100.0,1.0,0,2021-01-06
2021-01-07,-1,1,0,100.0,1.0,0,2021-01-07
