date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-05-22,1,-1,1,0,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,6.290225191540192e-23,4.623315515782041e-20,-1
2020-05-23,1,-1,1,0,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,2.8494017441540986e-23,2.1484489150921904e-20,-1
2020-05-24,1,-1,1,0,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,0,-1,1,-1,-1,2.5224857415823677e-23,1.9095217063778523e-20,-1
2020-05-25,1,-1,1,0,0,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,0,-1,1,-1,-1,3.2385990433642047e-23,2.4321878815665178e-20,-1
2020-05-26,1,-1,1,0,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,-1,1,-1,-1,4.989808981333452e-23,3.687468837205421e-20,-1
2020-05-27,1,-1,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,-1,1,-1,-1,1.3770580343168917e-23,1.0493182221494714e-20,-1
2020-05-28,1,-1,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,0,-1,1,-1,-1,4.649066750898866e-25,3.7006571337154973e-22,-1
2020-05-29,1,-1,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,4.466414230352549e-26,3.6490604261980325e-23,-1
2020-05-30,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,1.2749182360997319e-24,1.0008108153382896e-21,-1
2020-05-31,1,0,1,1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,2.735921176791611e-22,1.9507117990524188e-19,-1
2020-06-01,1,0,1,1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,5.433606118111103e-21,3.4992423400635504e-18,-1
2020-06-02,1,0,1,1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,1,-1,-1,1,-1,0,100.0,1.0,0
2020-06-03,1,0,1,1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,1,-1,-1,1,-1,0,100.0,1.0,0
2020-06-04,1,0,1,1,1,-1,-1,-1,0,-1,1,1,1,-1,-1,1,-1,-1,1,-1,0,100.0,1.0,0
2020-06-05,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,1,-1,-1,1,-1,1,1.65451827880806e-17,5.840449524192452e-15,1
