date,Husten,Ausfluss,Übelkeit,Schock,Hypoxämie,Erbrechen,Muskelschmerzen,Durchfall,Lungenentzündung,Halsentzündung,Fieber,Kopfschmerzen,Lymphopenie,Entzündung,trockener Husten,Atemnot,Sputum,Müdigkeit,respiratorische Insuffizienz,Angst,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2021-07-13,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,7.579683411458319e-27,6.2001810305729046e-24,-1
2021-07-14,-1,0,-1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,7.891435164723889e-26,6.384171048261626e-23,-1
2021-07-15,-1,0,-1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,4.6825363796322826e-23,3.4557118481686243e-20,-1
2021-07-16,-1,0,-1,0,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,0,1,-1,5.706452632325863e-20,3.389632863601562e-17,-1
2021-07-17,-1,0,-1,0,1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,-1,2.2143166709936483e-17,8.724407683714975e-15,-1
2021-07-18,-1,0,-1,0,1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,-1,7.764746858976445e-17,2.6866024132058502e-14,-1
2021-07-19,-1,1,-1,1,1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,0,100.0,1.0,0
2021-07-20,-1,1,-1,1,1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,0,100.0,1.0,0
2021-07-21,-1,1,-1,1,1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,0,100.0,1.0,0
2021-07-22,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,0,1,1,2.2196431204964302e-10,1.0876251290432508e-08,1
2021-07-23,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,1,-1,0,1,0,100.0,1.0,0
2021-07-24,0,1,-1,1,0,-1,-1,1,1,-1,1,-1,1,-1,-1,0,1,-1,0,1,0,100.0,1.0,0
2021-07-25,0,1,-1,1,0,-1,-1,1,1,-1,1,-1,1,-1,-1,0,1,-1,0,1,0,100.0,1.0,0
2021-07-26,0,1,-1,1,0,-1,-1,1,1,-1,1,-1,1,-1,-1,0,1,-1,0,1,0,100.0,1.0,0
2021-07-27,0,1,-1,0,0,-1,-1,0,1,-1,1,-1,1,-1,-1,0,1,-1,0,1,-1,1.1493204798858993e-16,3.827237198020044e-14,-1
2021-07-28,1,1,-1,0,0,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,1,-1,0,1,-1,2.3893735085208345e-18,1.1206161754962714e-15,-1
2021-07-29,1,1,-1,0,0,-1,-1,0,1,-1,1,-1,1,-1,-1,-1,1,-1,0,1,-1,3.811220755626542e-17,1.4177741210930736e-14,-1
2021-07-30,1,1,-1,0,-1,0,-1,0,1,-1,1,-1,1,-1,-1,-1,1,-1,0,1,-1,1.5117715130993886e-15,3.552663055783563e-13,-1
2021-07-31,1,1,-1,0,-1,0,-1,0,1,-1,1,-1,1,-1,-1,-1,1,-1,0,1,-1,1.5945511595329755e-14,2.6147648583511493e-12,-1
2021-08-01,1,1,-1,-1,-1,0,-1,0,1,-1,1,-1,1,-1,-1,-1,0,-1,0,1,-1,1.0190960335875963e-13,1.1821513989616117e-11,-1
2021-08-02,1,1,-1,-1,0,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1,0,1,-1,2.1976665872289667e-13,2.0038911977619118e-11,-1
2021-08-03,1,1,-1,-1,0,0,-1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1,0,1,-1,2.0976556336651633e-13,1.992772851981905e-11,-1
2021-08-04,1,1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,0,1,-1,9.057998502787692e-14,1.0960178188373107e-11,-1
2021-08-05,1,1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,0,1,-1,1.5892078881527718e-14,2.6147648583511493e-12,-1
2021-08-06,1,1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,0,-1,-1,-1,0,1,-1,9.54911142661765e-16,2.406376079507648e-13,-1
2021-08-07,1,1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,0,-1,-1,-1,0,1,-1,3.1574272774508196e-17,1.2124520745411147e-14,-1
2021-08-08,1,1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,0,-1,-1,-1,0,1,-1,1.1352180711498086e-17,4.665746272425713e-15,-1
2021-08-09,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,0,1,-1,2.3085535527127395e-16,6.994917264719601e-14,-1
2021-08-10,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,0,-1,0,1,-1,1.939044454344815e-15,4.4210213559061787e-13,-1
2021-08-11,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,0,1,-1,7.51313617697841e-16,1.9834679507223003e-13,-1
2021-08-12,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,0,0,-1,1.0049547665828511e-16,3.386697563384208e-14,-1
2021-08-13,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,0,0,-1,4.757996105676026e-18,2.1030342787088033e-15,-1
2021-08-14,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,0,-1,0,0,-1,7.504175484485282e-20,4.3674301319704346e-17,-1
2021-08-15,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,0,-1,8.99626673943201e-23,6.504300852609343e-20,-1
2021-08-16,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,0,-1,2.184514109282694e-22,1.5488205034814302e-19,-1
2021-08-17,1,0,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,7.793144475251498e-21,4.972026175210456e-18,-1
2021-08-18,1,0,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,8.88038812355643e-21,5.656807234705446e-18,-1
2021-08-19,1,0,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,3.8547178210922494e-19,2.0545645986421688e-16,-1
2021-08-20,1,0,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,1.0527126943063134e-17,4.3477034274850746e-15,-1
2021-08-21,1,0,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,1.169269539737179e-16,3.881974871927435e-14,-1
2021-08-22,1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,6.628876958056148e-16,1.7831679017171038e-13,-1
2021-08-23,1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,1.4352174542899215e-18,6.94645247876322e-16,-1
2021-08-24,1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,1.1563827116275649e-20,7.30833873748621e-18,-1
2021-08-25,1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,5.2837861605854534e-18,2.3090145521758432e-15,-1
2021-08-26,1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,4.2367699804690335e-17,1.5718416627540115e-14,-1
2021-08-27,1,-1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,-1,2.3651810172474108e-15,5.250701858289252e-13,-1
2021-08-28,1,-1,-1,-1,0,1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,-1,9.514652047478976e-15,1.6936080644512579e-12,-1
2021-08-29,1,-1,-1,0,0,1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1.9744044680071255e-13,1.9546604233270543e-11,-1
2021-08-30,1,-1,-1,0,0,1,-1,-1,1,0,0,-1,1,-1,1,-1,1,-1,1,-1,-1,9.845006080567022e-13,7.383754560425267e-11,-1
2021-08-31,1,-1,-1,0,0,1,-1,-1,1,0,0,-1,1,-1,1,-1,0,-1,1,-1,-1,1.2293767605248552e-12,8.974450351831442e-11,-1
2021-09-01,1,-1,-1,0,0,1,-1,-1,1,0,1,-1,1,-1,1,-1,0,-1,1,-1,-1,4.2209289718932806e-13,3.545580336390356e-11,-1
2021-09-02,1,-1,-1,0,0,1,-1,-1,1,0,1,-1,1,-1,1,-1,0,0,1,-1,-1,1.1259194512829194e-13,1.2497705909240406e-11,-1
2021-09-03,1,-1,-1,1,0,0,-1,-1,1,0,1,-1,1,-1,1,-1,0,0,1,-1,-1,2.872166298725306e-14,4.250806122113453e-12,-1
2021-09-04,1,-1,-1,1,0,0,-1,-1,1,1,1,-1,1,-1,1,-1,0,0,1,-1,0,100.0,1.0,0
2021-09-05,1,-1,-1,1,0,0,0,-1,1,1,1,-1,1,-1,1,-1,0,0,0,-1,0,100.0,1.0,0
2021-09-06,1,-1,-1,1,0,0,0,-1,1,1,1,-1,1,-1,1,-1,0,0,0,-1,0,100.0,1.0,0
2021-09-07,1,-1,-1,1,0,0,0,-1,1,1,1,-1,1,-1,1,-1,0,1,0,-1,1,1.0925377167865497e-17,4.501255393160585e-15,1
2021-09-08,1,-1,-1,1,0,-1,0,-1,1,1,1,-1,1,0,1,-1,1,1,0,-1,1,4.179310674508239e-16,1.1743862995368153e-13,1
2021-09-09,1,-1,-1,1,0,-1,1,-1,1,1,1,-1,1,0,1,-1,1,1,0,-1,1,4.505169214075775e-17,1.6488793196678577e-14,1
2021-09-10,1,-1,-1,1,0,-1,1,-1,1,1,1,-1,1,0,1,-1,0,1,0,-1,1,5.1017968166131195e-20,3.0406709027014194e-17,1
2021-09-11,1,-1,0,1,0,0,1,-1,1,1,1,-1,1,0,1,-1,0,1,-1,-1,1,4.077941265147994e-20,2.4508427003539442e-17,1
2021-09-12,1,-1,0,1,0,0,1,-1,1,1,1,-1,1,0,1,-1,0,1,-1,-1,1,1.9514817071728213e-19,1.0752664206522245e-16,1
2021-09-13,1,-1,0,1,0,0,1,-1,1,1,1,-1,1,1,1,-1,0,1,-1,-1,1,1.1281959894560185e-20,7.141480613256598e-18,1
2021-09-14,1,-1,0,1,0,0,1,-1,1,1,1,-1,1,1,1,-1,0,1,-1,-1,1,4.4481148819593414e-24,3.407255999580856e-21,1
2021-09-15,1,-1,0,1,0,0,1,-1,1,1,1,-1,1,1,1,-1,0,1,-1,-1,1,4.24529376277054e-28,3.53632970438786e-25,1
2021-09-16,1,-1,1,1,0,1,1,0,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1.5120042595871465e-30,1.2852036206490745e-27,1
2021-09-17,1,-1,1,1,0,1,1,0,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,2.1063102883445695e-28,1.76087540105606e-25,1
2021-09-18,1,-1,1,1,0,1,1,0,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1.735332869797319e-24,1.3535596384419088e-21,1
2021-09-19,1,-1,1,1,0,1,1,0,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,3.2988025204113547e-21,2.1541180458286147e-18,1
2021-09-20,1,-1,1,1,0,1,1,0,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,8.442171918796532e-19,4.2632968189922486e-16,1
2021-09-21,1,-1,1,1,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,1.0276834455435966e-19,5.878349308509372e-17,1
2021-09-22,1,0,1,1,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,5.337935080635916e-19,2.79707798225322e-16,1
2021-09-23,1,0,1,1,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,7.769157193539853e-17,2.6866024132058502e-14,1
2021-09-24,1,0,1,1,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,1.472385019444941e-16,4.7332717879496746e-14,1
2021-09-25,1,0,1,1,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,8.237387903671538e-19,4.188533587319561e-16,1
2021-09-26,1,0,0,1,0,1,1,1,1,1,1,-1,1,1,0,-1,-1,1,-1,-1,1,1.3373943078421223e-18,6.526484222269557e-16,1
2021-09-27,1,1,0,1,0,1,1,1,1,1,1,-1,1,1,0,-1,0,1,-1,-1,1,5.521895138036694e-20,3.2855276071318327e-17,1
2021-09-28,1,1,0,1,0,1,1,1,1,1,1,-1,1,1,0,-1,0,1,-1,-1,1,6.794317126013774e-23,4.9462628677380276e-20,1
2021-09-29,1,1,0,1,0,1,1,1,1,1,1,-1,1,1,0,-1,0,1,-1,-1,1,3.465366566940306e-24,2.661401523410155e-21,1
2021-09-30,1,1,0,1,0,1,1,1,1,1,1,-1,1,1,1,0,0,1,-1,-1,1,4.1471265344676293e-23,3.0813150151094485e-20,1
2021-10-01,1,1,-1,1,0,1,1,1,1,1,1,-1,1,1,1,0,0,1,-1,-1,1,4.031700614585078e-22,2.822190430209555e-19,1
2021-10-02,1,1,-1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,-1,1,1.1917477580595209e-21,8.044297366901766e-19,1
2021-10-03,1,1,-1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,-1,1,7.198656324157391e-22,4.9670728636686e-19,1
2021-10-04,1,1,-1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,-1,1,1.387676528820864e-22,9.921887181069178e-20,1
2021-10-05,1,1,-1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,0,1,4.3675815323894785e-23,3.2363779155006036e-20,1
2021-10-06,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1.3825450014732102e-22,9.899022210548185e-20,1
2021-10-07,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,6.841802139059621e-22,4.727685278090198e-19,1
2021-10-08,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1.0129653534443682e-21,6.898294056956147e-19,1
2021-10-09,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,8.171131448600248e-22,5.613567305188371e-19,1
2021-10-10,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,5.2271908078867516e-21,3.3558564986632945e-18,1
2021-10-11,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1.7543291512502262e-19,9.736526789438755e-17,1
2021-10-12,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,9.00832198819877e-22,6.161692239927959e-19,1
2021-10-13,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.8433423204084247e-22,1.3143030744512067e-19,1
2021-10-14,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3.4848159466793104e-21,2.2720999972349104e-18,1
2021-10-15,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9.565764982022839e-24,7.250849856373312e-21,1
2021-10-16,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.2448941812051733e-24,1.7420378846152144e-21,1
2021-10-17,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.267795018683779e-23,3.1667039038633644e-20,1
2021-10-18,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,5.980253801722288e-22,4.150296138395268e-19,1
2021-10-19,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3.728595327221692e-21,2.419858367366878e-18,1
2021-10-20,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.9548165891357882e-22,1.3898745948755453e-19,1
2021-10-21,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,6.841326294075793e-23,4.9736442157931016e-20,1
2021-10-22,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1.2140599642211011e-22,8.704809943465295e-20,1
2021-10-23,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1.1687766019995752e-22,8.415191534396942e-20,1
2021-10-24,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,4.8084443416893065e-23,3.543823479825019e-20,1
2021-10-25,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,3.1878117603676975e-23,2.3749197614739348e-20,1
